연번,수송일자,호선,고유역번호(외부역코드),역명,승하차구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
142,2022-03-12,2,218,종합운동장,하차,24,149,127,408,377,557,989,1553,2031,2333,2805,3695,1776,618,547,655,455,190,186,0
143,2022-03-13,2,218,종합운동장,승차,17,52,64,132,161,232,452,622,733,697,891,1091,512,384,461,2947,6789,274,53,0
144,2022-03-13,2,218,종합운동장,하차,26,84,68,311,290,511,891,1473,2153,2113,2474,3580,1523,544,368,413,427,145,108,0
145,2022-03-14,2,218,종합운동장,승차,81,223,612,809,529,361,272,276,304,262,407,523,476,623,311,157,147,119,45,0
146,2022-03-14,2,218,종합운동장,하차,34,227,607,964,396,244,227,294,290,270,337,326,541,858,558,309,263,264,169,0
147,2022-03-15,2,218,종합운동장,승차,44,198,604,784,536,323,287,266,258,277,480,512,506,612,334,324,342,130,44,0
148,2022-03-15,2,218,종합운동장,하차,37,207,549,878,381,285,186,285,240,250,333,360,568,1048,628,345,279,293,189,0
149,2022-03-16,2,218,종합운동장,승차,49,180,620,764,534,351,294,305,244,289,522,395,510,684,311,231,197,144,57,0
150,2022-03-16,2,218,종합운동장,하차,29,262,568,844,361,276,221,283,248,258,309,327,532,865,566,306,315,280,194,0
151,2022-03-17,2,218,종합운동장,승차,50,176,606,820,537,323,299,291,284,252,450,488,506,599,290,196,183,103,55,0
152,2022-03-17,2,218,종합운동장,하차,37,216,586,805,367,252,242,277,241,260,307,372,529,817,598,304,292,289,215,0
153,2022-03-18,2,218,종합운동장,승차,49,177,558,719,478,312,259,242,279,384,334,555,548,597,301,188,150,127,86,0
154,2022-03-18,2,218,종합운동장,하차,33,236,458,818,332,231,199,243,270,259,323,343,524,816,540,291,271,296,268,0
155,2022-03-19,2,218,종합운동장,승차,32,78,105,177,228,230,246,301,319,248,287,347,275,242,650,238,104,88,56,0
156,2022-03-19,2,218,종합운동장,하차,25,118,111,217,204,161,171,271,275,292,326,483,673,303,232,193,192,219,200,0
157,2022-03-20,2,218,종합운동장,승차,24,55,62,130,160,214,213,269,341,267,270,240,246,182,166,114,96,52,42,0
158,2022-03-20,2,218,종합운동장,하차,22,111,62,203,177,198,155,236,234,236,218,273,296,311,228,186,175,152,133,0
159,2022-03-21,2,218,종합운동장,승차,46,194,646,791,542,322,252,263,313,366,292,456,511,556,275,177,178,107,45,0
160,2022-03-21,2,218,종합운동장,하차,35,263,546,1020,374,256,191,283,281,267,319,370,467,869,569,311,277,241,158,0
161,2022-03-22,2,218,종합운동장,승차,55,193,621,820,588,325,266,300,265,264,392,515,532,647,344,176,184,144,72,0
162,2022-03-22,2,218,종합운동장,하차,29,252,547,909,344,290,180,260,251,288,317,413,542,837,622,352,280,302,200,0
163,2022-03-23,2,218,종합운동장,승차,41,190,631,781,548,353,264,282,274,281,466,418,453,617,259,174,185,143,53,0
164,2022-03-23,2,218,종합운동장,하차,42,250,532,879,371,259,206,299,279,258,266,314,479,887,555,326,285,287,201,0
165,2022-03-24,2,218,종합운동장,승차,54,196,587,813,518,322,271,266,260,288,398,480,535,719,321,187,367,160,69,0
166,2022-03-24,2,218,종합운동장,하차,32,244,529,859,389,253,176,245,237,259,332,382,582,1016,615,323,321,298,282,0
167,2022-03-25,2,218,종합운동장,승차,46,182,569,773,517,360,280,330,304,386,409,693,621,689,324,219,795,3122,98,0
168,2022-03-25,2,218,종합운동장,하차,36,209,514,869,463,262,240,349,452,641,1188,1636,1144,836,608,360,360,399,377,0
169,2022-03-26,2,218,종합운동장,승차,36,77,113,176,244,249,297,348,331,408,388,469,474,305,238,676,557,3108,76,0
170,2022-03-26,2,218,종합운동장,하차,11,118,160,237,324,265,248,398,556,840,1118,1815,1326,325,249,257,265,319,218,0
171,2022-03-27,2,218,종합운동장,승차,24,66,79,157,212,232,281,326,421,374,685,525,300,214,194,152,3223,349,58,0
172,2022-03-27,2,218,종합운동장,하차,26,127,111,238,332,274,293,630,681,921,1641,1181,338,326,244,229,327,162,126,0
173,2022-03-28,2,218,종합운동장,승차,63,203,640,815,554,324,241,285,300,365,359,553,522,685,300,180,197,99,71,0
174,2022-03-28,2,218,종합운동장,하차,28,239,551,1167,367,262,229,314,280,271,280,345,538,925,563,312,262,297,186,0
175,2022-03-29,2,218,종합운동장,승차,36,204,615,817,574,347,287,328,291,293,439,531,586,697,307,201,256,158,54,0
176,2022-03-29,2,218,종합운동장,하차,35,217,578,1089,444,330,229,308,286,278,358,369,529,926,583,318,313,338,208,0
177,2022-03-30,2,218,종합운동장,승차,54,206,633,789,545,354,276,299,286,265,473,420,487,645,269,188,215,125,81,0
178,2022-03-30,2,218,종합운동장,하차,31,203,591,1035,408,266,229,294,305,266,314,336,454,954,492,319,287,310,264,0
179,2022-03-31,2,218,종합운동장,승차,50,214,616,807,539,339,278,299,282,321,472,468,571,637,296,189,196,144,84,0
180,2022-03-31,2,218,종합운동장,하차,34,205,542,894,350,262,237,297,261,303,343,370,533,836,561,337,312,353,265,0
181,2022-04-01,2,218,종합운동장,승차,49,215,613,796,515,341,308,288,288,419,329,623,554,638,322,214,190,125,105,0
182,2022-04-01,2,218,종합운동장,하차,36,225,509,851,361,269,228,307,307,310,367,410,632,819,528,329,321,336,324,0
183,2022-04-02,2,218,종합운동장,승차,35,102,151,218,323,272,408,465,479,423,513,699,7704,996,349,160,170,1065,80,0
184,2022-04-02,2,218,종합운동장,하차,24,194,250,395,427,501,766,3113,5665,1133,487,512,943,648,275,266,216,227,265,0
185,2022-04-03,2,218,종합운동장,승차,35,74,63,165,211,270,338,368,354,363,418,3388,2763,1136,213,179,1146,108,62,0
186,2022-04-03,2,218,종합운동장,하차,22,140,115,303,405,563,811,1879,3428,1146,1084,782,621,320,235,220,209,190,127,0
187,2022-04-04,2,218,종합운동장,승차,62,218,664,858,590,357,281,311,371,339,411,526,530,613,322,289,284,106,44,0
188,2022-04-04,2,218,종합운동장,하차,39,233,592,1184,398,316,250,293,303,326,382,425,582,998,624,315,295,287,182,0
189,2022-04-05,2,218,종합운동장,승차,56,215,675,839,616,389,323,309,353,316,346,679,551,646,324,335,514,2300,122,0
190,2022-04-05,2,218,종합운동장,하차,34,212,555,1143,451,366,237,394,307,379,428,618,1485,2143,725,358,354,324,230,0
191,2022-04-06,2,218,종합운동장,승차,65,202,653,834,607,364,344,374,416,330,421,552,617,668,398,400,2244,320,71,0
192,2022-04-06,2,218,종합운동장,하차,38,271,630,1189,437,313,273,324,279,349,517,545,1374,2125,760,347,311,359,234,0
193,2022-04-07,2,218,종합운동장,승차,52,198,640,835,590,376,304,313,299,271,350,693,590,673,355,332,516,2047,148,0
194,2022-04-07,2,218,종합운동장,하차,32,214,555,976,429,277,230,309,319,297,438,550,1337,2139,791,392,380,368,242,0
195,2022-04-08,2,218,종합운동장,승차,54,206,651,814,573,377,325,324,355,340,548,683,755,757,369,642,3662,455,92,0
196,2022-04-08,2,218,종합운동장,하차,37,261,554,1056,475,334,293,324,372,448,564,916,2645,3003,913,378,354,338,305,0
197,2022-04-09,2,218,종합운동장,승차,39,111,147,243,333,327,472,414,474,482,537,491,499,518,809,4583,1834,840,114,0
198,2022-04-09,2,218,종합운동장,하차,15,161,229,302,313,316,298,427,640,897,2058,4134,2143,1120,360,367,291,260,220,0
199,2022-04-10,2,218,종합운동장,승차,30,76,101,186,243,322,377,459,389,354,359,581,3857,516,225,154,138,112,50,0
200,2022-04-10,2,218,종합운동장,하차,24,161,153,261,339,445,401,1304,3048,894,395,347,370,361,253,235,235,166,123,0
201,2022-04-11,2,218,종합운동장,승차,60,238,683,881,620,362,347,309,262,301,466,464,578,670,286,203,175,114,82,0
202,2022-04-11,2,218,종합운동장,하차,32,243,585,1136,421,306,244,298,285,291,375,408,575,876,633,336,314,292,262,0
203,2022-04-12,2,218,종합운동장,승차,45,230,653,908,660,376,347,331,275,276,299,622,596,709,332,593,2435,165,66,0
204,2022-04-12,2,218,종합운동장,하차,40,228,594,1167,466,362,231,291,329,325,486,547,1611,2098,839,395,370,299,256,0
205,2022-04-13,2,218,종합운동장,승차,50,294,650,936,614,409,282,316,278,270,506,523,543,676,303,349,391,1807,92,0
206,2022-04-13,2,218,종합운동장,하차,30,301,572,1126,439,303,222,328,309,339,486,488,1192,1974,694,354,348,394,220,0
207,2022-04-14,2,218,종합운동장,승차,43,219,652,904,604,400,293,313,310,311,312,729,588,694,335,361,2716,341,88,0
208,2022-04-14,2,218,종합운동장,하차,33,204,577,1027,425,323,200,316,254,332,507,564,1598,2435,838,345,385,385,251,0
209,2022-04-15,2,218,종합운동장,승차,67,208,635,856,577,397,332,350,325,306,522,587,650,691,396,370,2206,305,97,0
210,2022-04-15,2,218,종합운동장,하차,27,233,563,980,431,320,285,341,367,365,537,630,1429,1923,720,409,377,346,293,0
211,2022-04-16,2,218,종합운동장,승차,41,98,134,296,304,328,401,414,504,505,369,407,475,438,789,3663,323,139,61,0
212,2022-04-16,2,218,종합운동장,하차,27,238,243,270,304,277,316,481,577,595,1298,2892,945,393,295,311,254,229,220,0
213,2022-04-17,2,218,종합운동장,승차,44,69,124,226,234,407,307,499,433,360,388,488,2498,1088,281,136,125,88,44,0
214,2022-04-17,2,218,종합운동장,하차,15,171,196,431,406,613,394,1027,2377,706,283,333,327,370,223,210,209,179,122,0
215,2022-04-18,2,218,종합운동장,승차,58,218,712,928,607,362,285,313,261,265,577,441,524,660,313,180,178,130,57,0
216,2022-04-18,2,218,종합운동장,하차,41,290,583,1193,461,298,216,303,263,296,350,362,534,869,658,317,320,324,166,0
